label,probability
0.0,"[0.7221770917952883,0.2778229082047116]"
1.0,"[0.9040991420400382,0.09590085795996187]"
1.0,"[0.39057239057239057,0.6094276094276094]"
0.0,"[0.9539139274822094,0.04608607251779058]"
1.0,"[0.9040991420400382,0.09590085795996187]"
0.0,"[0.9539139274822094,0.04608607251779058]"
0.0,"[0.8273770846870262,0.1726229153129738]"
0.0,"[0.9040991420400382,0.09590085795996187]"
1.0,"[0.9040991420400382,0.09590085795996187]"
1.0,"[0.7414847161572052,0.25851528384279476]"
0.0,"[0.9040991420400382,0.09590085795996187]"
0.0,"[0.9539139274822094,0.04608607251779058]"
0.0,"[0.8273770846870262,0.1726229153129738]"
0.0,"[0.9291338582677166,0.07086614173228346]"
1.0,"[0.05842791088692728,0.9415720891130728]"
0.0,"[0.8065630397236615,0.19343696027633853]"
1.0,"[0.2906764168190128,0.7093235831809872]"
0.0,"[0.9539139274822094,0.04608607251779058]"
1.0,"[0.5524475524475524,0.44755244755244755]"
0.0,"[0.879344262295082,0.12065573770491804]"
0.0,"[0.8,0.2]"
0.0,"[0.9053084648493543,0.09469153515064563]"
0.0,"[0.9090909090909091,0.09090909090909091]"
0.0,"[0.9804789696115919,0.01952103038840813]"
0.0,"[0.9040991420400382,0.09590085795996187]"
0.0,"[0.9804789696115919,0.01952103038840813]"
0.0,"[0.9271270507439908,0.07287294925600915]"
0.0,"[0.7156398104265402,0.2843601895734597]"
0.0,"[0.7045454545454546,0.29545454545454547]"
0.0,"[0.9804789696115919,0.01952103038840813]"
0.0,"[0.3424657534246575,0.6575342465753424]"
0.0,"[0.9539139274822094,0.04608607251779058]"
0.0,"[0.9271270507439908,0.07287294925600915]"
1.0,"[0.7175925925925926,0.2824074074074074]"
0.0,"[0.6824817518248175,0.3175182481751825]"
0.0,"[0.943227899432279,0.05677210056772101]"
0.0,"[0.9090909090909091,0.09090909090909091]"
0.0,"[1.0,0.0]"
0.0,"[0.9804789696115919,0.01952103038840813]"
0.0,"[0.8325837081459271,0.16741629185407297]"
1.0,"[0.9040991420400382,0.09590085795996187]"
0.0,"[0.7221770917952883,0.2778229082047116]"
1.0,"[0.11278195488721804,0.8872180451127819]"
0.0,"[0.7239884393063584,0.27601156069364163]"
1.0,"[0.09270620313565099,0.907293796864349]"
0.0,"[0.9053084648493543,0.09469153515064563]"
0.0,"[0.9539139274822094,0.04608607251779058]"
0.0,"[0.935064935064935,0.06493506493506493]"
